iter	Passed	Remaining
0	1	470
1	2	315
2	2	271
3	3	240
4	3	218
5	4	207
6	4	194
7	5	189
8	6	194
9	6	190
10	6	182
11	7	180
12	8	177
13	8	176
14	9	172
15	9	171
16	10	169
17	10	169
18	11	169
19	13	182
20	13	183
21	14	181
22	15	192
23	18	211
24	18	206
25	19	204
26	19	201
27	20	201
28	21	199
29	21	196
30	22	194
31	22	192
32	23	190
33	24	189
34	24	186
35	25	185
36	25	183
37	26	182
38	27	181
39	27	181
40	28	180
41	29	179
42	29	179
43	30	178
44	31	177
45	31	176
46	32	174
47	33	173
48	34	174
49	34	172
50	35	171
51	35	169
52	36	168
53	36	167
54	37	165
55	37	164
56	38	164
57	39	163
58	39	162
59	40	161
60	40	160
61	41	159
62	42	158
63	42	156
64	43	155
65	44	156
66	44	155
67	45	153
68	45	152
69	46	151
70	46	150
71	47	150
72	48	149
73	48	148
74	49	147
75	49	147
76	50	146
77	51	145
78	51	143
79	51	142
80	52	141
81	52	140
82	53	139
83	53	138
84	54	137
85	54	136
86	55	135
87	55	134
88	56	133
89	56	132
90	57	131
91	57	130
92	58	130
93	59	129
94	59	128
95	60	127
96	60	126
97	61	126
98	61	125
99	63	127
100	65	129
101	67	130
102	71	136
103	71	135
104	72	134
105	72	133
106	73	132
107	74	131
108	74	130
109	75	129
110	75	128
111	76	127
112	76	127
113	77	126
114	77	125
115	78	124
116	79	124
117	80	123
118	82	124
119	82	123
120	83	123
121	83	122
122	84	121
123	85	120
124	85	119
125	87	120
126	87	119
127	88	119
128	89	118
129	89	117
130	90	116
131	90	115
132	91	114
133	91	113
134	92	112
135	92	111
136	93	110
137	93	109
138	94	109
139	94	108
140	95	107
141	95	106
142	96	106
143	97	105
144	97	104
145	97	103
146	98	102
147	99	101
148	99	100
149	100	100
150	100	99
151	100	98
152	101	97
153	101	96
154	102	95
155	102	94
156	103	94
157	103	93
158	104	92
159	104	91
160	105	90
161	105	89
162	106	89
163	106	88
164	106	87
165	107	86
166	107	85
167	108	85
168	108	84
169	109	83
170	109	82
171	110	82
172	110	81
173	111	80
174	111	79
175	112	79
176	112	78
177	113	77
178	113	76
179	114	76
180	114	75
181	115	74
182	115	73
183	116	73
184	116	72
185	116	71
186	117	70
187	117	70
188	118	69
189	118	68
190	119	68
191	119	67
192	120	66
193	120	65
194	120	65
195	121	64
196	121	63
197	122	63
198	123	62
199	123	61
200	124	61
201	124	60
202	125	59
203	125	59
204	126	58
205	127	58
206	127	57
207	128	56
208	128	55
209	129	55
210	129	54
211	129	53
212	130	53
213	130	52
214	131	51
215	131	51
216	132	50
217	132	49
218	133	49
219	133	48
220	134	47
221	134	47
222	134	46
223	135	45
224	135	45
225	136	44
226	136	43
227	137	43
228	137	42
229	138	42
230	138	41
231	139	40
232	139	40
233	140	39
234	140	38
235	141	38
236	141	37
237	142	37
238	142	36
239	143	35
240	143	35
241	144	34
242	145	34
243	146	33
244	146	32
245	147	32
246	147	31
247	148	31
248	148	30
249	149	29
250	149	29
251	150	28
252	150	27
253	150	27
254	151	26
255	151	26
256	152	25
257	152	24
258	153	24
259	153	23
260	154	23
261	154	22
262	155	21
263	155	21
264	156	20
265	156	20
266	157	19
267	157	18
268	158	18
269	158	17
270	159	17
271	159	16
272	160	15
273	161	15
274	161	14
275	162	14
276	162	13
277	163	12
278	163	12
279	163	11
280	164	11
281	164	10
282	165	9
283	165	9
284	166	8
285	166	8
286	167	7
287	167	6
288	168	6
289	168	5
290	168	5
291	169	4
292	169	4
293	170	3
294	170	2
295	171	2
296	171	1
297	172	1
298	173	0
299	174	0
